productID,Item,Unit,OrderUnit,distributor,quantity
1,Anchovies,tin/container,tin/container,PFG/Roma,0
2,Pine Nuts,bag,bag,N/A,0
3,56-gallon Trash Bags,roll,case (10 per),PFG/Roma,0
4,16-gallon Trash Bags,roll,case (16 per),PFG/Roma,0
5,Non-Thermal Printer Paper,roll,case (50 per),PFG/Roma,0
6,Non-Thermal Carbonless Copy Printer Paper,roll,case (50 per),PFG/Roma,0
7,Large Thermal Paper,roll,case (50 per),PFG/Roma,0
8,Small Thermal Paper,roll,case (50 per),N/A,0
9,Crust Savers/Box Liners,case,case (250 per),PFG/Roma,0
10,Parchment Paper,,,,,0
11,Balsamic Glaze,bottle,case (4 per),PFG/Roma,0
12,Piping Bags,n/a,n/a,n/a,,0
13,Old Bay Seasoning,jug,jug,PFG/Roma,0
14,Ketchup Packets,case,case,PFG/Roma,0
15,8# Brown Paper Bags,individual,bundle (500 per),PFG/Roma,0
16,Brown Paper Grocery Bags w/ Handles,individual,bundle (500 per),PFG/Roma,0
17,Uncoated Paper Plates,pack/sleeve,case (12 per),PFG/Roma,0
18,Plastic Spoons,case,case (1000 piece),PFG/Roma,0
19,Plastic Forks,case,case (1000 piece),PFG/Roma,0
20,Plastic Knives,case,case (1000 piece),PFG/Roma,0
21,"Plastic ""Thank You"" Bags",case,case,PFG/Roma,0
22,"10"" Pizza Box",bundle,bundle (50 piece),PFG/Roma,0
23,"12"" Pizza Box",bundle,bundle (50 piece),PFG/Roma,0
24,"14"" Pizza Box",bundle,bundle (50 piece),PFG/Roma,0
25,"18"" Pizza Box",bundle,bundle (50 piece),PFG/Roma,0
26,Plastic Straws,box,case (16 per),PFG/Roma,0
27,"Tork ""Xpressnap"" Cafe Napkins",sleeve,case (12 per),PFG/Roma,0
28,White Dinner Napkins,sleeve,case (12 per),PFG/Roma,0
29,Paper Towel Rolls (for dispensers),roll,case (6 per),PFG/Roma,0
30,Sliced Black Olives,can,case (6 per),PFG/Roma,0
31,Artichoke Hearts,can,case (6 per),PFG/Roma,0
32,Cheese Sauce,can,case (6 per),PFG/Roma,0
33,Roasted Red Bell Peppers,can,case (6 per),PFG/Roma,0
34,Bonta Heavy Pizza Sauce,can,case (6 per),PFG/Roma & Buono,0
35,6-in-1 Tomato Puree,can,case (6 per),PFG/Roma & Buono,0
36,Beef Broth,can,case (12 per),PFG/Roma,0
37,Atlantic Treasure Canned Clams,can,case (12 per),PFG/Roma,0
38,Chicken Broth,can,n/a,n/a,0
39,Pineapple Tidbits,can,case (24 per),PFG/Roma,0
40,Chickpeas (Garbanzo Beans),can,n/a,n/a,0
41,Bottled Water,bottle,n/a,n/a,0
42,Bottled Apple Juice,bottle,case (24 per),PFG/Roma,0
43,Pepsi syrup,bag-in-box,bag-in-box,Pepsi,0
44,Diet Pepsi syrup,bag-in-box,bag-in-box,Pepsi,0
45,Cherry Pepsi syrup,bag-in-box,bag-in-box,Pepsi,0
46,Birch Beer syrup,bag-in-box,bag-in-box,Pepsi,0
47,Sierra Mist syrup,bag-in-box,bag-in-box,Pepsi,0
48,Mountain Dew syrup,bag-in-box,bag-in-box,Pepsi,0
49,Fruit Punch syrup,bag-in-box,bag-in-box,Pepsi,0
50,Lemonade syrup,bag-in-box,bag-in-box,Pepsi,0
51,2-Liter Pepsi,bottle,case (8 per),Pepsi,0
52,2-Liter Diet Pepsi,bottle,case (8 per),Pepsi,0
53,2-Liter Sierra Mist,bottle,case (8 per),Pepsi,0
54,1-pound Portion Bags,case,case,PFG/Roma,0
55,Sanitizer Testing Strips,bottle,bottle,PFG/Roma,0
56,Cannoli Shells,individual,case (48 per),PFG/Roma,0
